2023-01-20 08:04:37,2023-01-20 09:31:12,Master Thesis,Working on 2.2
2023-01-20 06:20:56,2023-01-20 07:20:24,Master Thesis,Working on 2.2
2023-01-20 01:07:32,2023-01-20 01:21:03,Master Thesis,Working on 2.2
2023-01-20 11:29:03,2023-01-20 11:29:05,Master Thesis,
2023-01-20 11:29:19,2023-01-20 11:29:23,Master Thesis,
2023-01-20 11:30:04,2023-01-20 11:30:08,Master Thesis,Testing Stuff
2023-01-20 11:30:27,2023-01-20 11:30:38,Enter Name for the Event,
